,Pred_Pollutant
2020-06-09 01:00:00,73.5350402993964
2020-06-09 02:00:00,75.24450817267225
2020-06-09 03:00:00,73.38441808857772
2020-06-09 04:00:00,70.20484228192686
2020-06-09 05:00:00,67.99247426474057
2020-06-09 06:00:00,65.72519692623689
2020-06-09 07:00:00,69.74993655866808
2020-06-09 08:00:00,75.26071160242559
2020-06-09 09:00:00,80.12963670942135
2020-06-09 10:00:00,79.40251733087445
2020-06-09 11:00:00,75.27251771284126
2020-06-09 12:00:00,70.34067919402149
2020-06-09 13:00:00,65.38236749275003
2020-06-09 14:00:00,62.8850084280217
2020-06-09 15:00:00,60.67829468615316
2020-06-09 16:00:00,57.5010401782035
2020-06-09 17:00:00,53.782913670609254
2020-06-09 18:00:00,53.392040295018916
2020-06-09 19:00:00,57.10599130090312
2020-06-09 20:00:00,67.60207322281497
2020-06-09 21:00:00,75.33278550570917
2020-06-09 22:00:00,79.67312513284294
2020-06-09 23:00:00,79.62308506840579
2020-06-10 00:00:00,77.1101051223441
2020-06-10 01:00:00,73.39449197936179
2020-06-10 02:00:00,75.10395852181274
2020-06-10 03:00:00,73.24386976602402
2020-06-10 04:00:00,70.06429263358166
2020-06-10 05:00:00,67.85192593967732
2020-06-10 06:00:00,65.5846472803965
2020-06-10 07:00:00,69.60938823110477
2020-06-10 08:00:00,75.12016195908053
2020-06-10 09:00:00,79.98908837936746
2020-06-10 10:00:00,79.2619676900153
2020-06-10 11:00:00,75.13196938030619
2020-06-10 12:00:00,70.20012955563884
2020-06-10 13:00:00,65.24181915774318
2020-06-10 14:00:00,62.74445879210619
2020-06-10 15:00:00,60.53774634868385
2020-06-10 16:00:00,57.36049054474578
2020-06-10 17:00:00,53.6423653306868
2020-06-10 18:00:00,53.25149066400969
2020-06-10 19:00:00,56.965442958536805
2020-06-10 20:00:00,67.46152359424497
2020-06-10 21:00:00,75.19223716090822
2020-06-10 22:00:00,79.53257550670294
2020-06-10 23:00:00,79.48253672117941
2020-06-11 00:00:00,76.96955549862491
2020-06-11 01:00:00,73.25394362971919
2020-06-11 02:00:00,74.96340890050524
2020-06-11 03:00:00,73.10332141397433
2020-06-11 04:00:00,69.92374301467669
2020-06-11 05:00:00,67.71137758522963
2020-06-11 06:00:00,65.44409766388499
2020-06-11 07:00:00,69.46883987426817
2020-06-11 08:00:00,74.97961234495344
2020-06-11 09:00:00,79.84854002015096
2020-06-11 10:00:00,79.12141807826359
2020-06-11 11:00:00,74.99142101871881
2020-06-11 12:00:00,70.05957994625354
2020-06-11 13:00:00,65.10127079379387
2020-06-11 14:00:00,62.60390918507832
2020-06-11 15:00:00,60.39719798238155
2020-06-11 16:00:00,57.21994094006645
2020-06-11 17:00:00,53.501816962040415
2020-06-11 18:00:00,53.11094106167002
2020-06-11 19:00:00,56.82489458755521
2020-06-11 20:00:00,67.3209739942361
2020-06-11 21:00:00,75.05168878760023
2020-06-11 22:00:00,79.39202590901606
2020-06-11 23:00:00,79.34198834555384
2020-06-12 00:00:00,76.82900590325126
2020-06-12 01:00:00,73.1133952517848
2020-06-12 02:00:00,74.82285930743605
2020-06-12 03:00:00,72.96277303373985
2020-06-12 04:00:00,69.78319342390326
2020-06-12 05:00:00,67.57082920270376
2020-06-12 06:00:00,65.30354807539861
2020-06-12 07:00:00,69.32829148945956
2020-06-12 08:00:00,74.83906275874544
2020-06-12 09:00:00,79.70799163306825
2020-06-12 10:00:00,78.98086849432538
2020-06-12 11:00:00,74.8508726293706
2020-06-12 12:00:00,69.91903036457653
2020-06-12 13:00:00,64.96072240218874
2020-06-12 14:00:00,62.46335960565398
2020-06-12 15:00:00,60.25664958852803
2020-06-12 16:00:00,57.07939136288624
2020-06-12 17:00:00,53.361268565947015
2020-06-12 18:00:00,52.970391486725454
2020-06-12 19:00:00,56.68434618923039
2020-06-12 20:00:00,67.18042442151874
2020-06-12 21:00:00,74.91114038705244
2020-06-12 22:00:00,79.25147633851746
2020-06-12 23:00:00,79.20143994279148
2020-06-13 00:00:00,76.68845633496302
2020-06-13 01:00:00,72.97284684681624
2020-06-13 02:00:00,74.68230974134981
2020-06-13 03:00:00,72.82222462657343
2020-06-13 04:00:00,69.6426438600107
2020-06-13 05:00:00,67.43028079334779
2020-06-13 06:00:00,65.16299851369143
2020-06-13 07:00:00,69.18774307792233
2020-06-13 08:00:00,74.69851319921538
2020-06-13 09:00:00,79.56744321935801
2020-06-13 10:00:00,78.84031893696421
2020-06-13 11:00:00,74.71032421349558
2020-06-13 12:00:00,69.77848080937605
2020-06-13 13:00:00,64.82017398415712
2020-06-13 14:00:00,62.32281005260601
2020-06-13 15:00:00,60.11610116834797
2020-06-13 16:00:00,56.938841811982634
2020-06-13 17:00:00,53.22072014362662
2020-06-13 18:00:00,52.8298419379581
2020-06-13 19:00:00,56.543797764777764
2020-06-13 20:00:00,67.03987487487954
2020-06-13 21:00:00,74.77059196047564
2020-06-13 22:00:00,79.1109267939984
2020-06-13 23:00:00,79.06089151409856
2020-06-14 00:00:00,76.54790679255608
2020-06-14 01:00:00,72.8322984160152
2020-06-14 02:00:00,74.541760201047
2020-06-14 03:00:00,72.68167619367225
2020-06-14 04:00:00,69.50209432180404
2020-06-14 05:00:00,67.28973235835441
2020-06-14 06:00:00,65.02244897757303
2020-06-14 07:00:00,69.04719464084468
2020-06-14 08:00:00,74.55796366517735
2020-06-14 09:00:00,79.42689478020397
2020-06-14 10:00:00,78.69976940499865
2020-06-14 11:00:00,74.56977577227298
2020-06-14 12:00:00,69.63793127947513
